iter	Passed	Remaining
0	150	150239
1	151	75805
2	153	51054
3	155	38618
4	156	31074
5	157	26078
6	158	22516
7	160	19872
8	161	17790
9	163	16204
10	164	14828
11	166	13688
12	167	12739
13	169	11913
14	171	11239
15	172	10626
16	174	10077
17	175	9590
18	177	9164
19	179	8800
20	180	8422
21	181	8090
22	183	7802
23	185	7530
24	186	7280
25	188	7057
26	189	6846
27	192	6668
28	194	6509
29	196	6362
30	198	6200
31	200	6053
32	201	5914
33	204	5816
34	207	5716
35	208	5585
36	209	5460
37	211	5346
38	212	5239
39	214	5139
40	215	5042
41	216	4948
42	217	4847
43	219	4766
44	221	4696
45	222	4617
46	223	4540
47	225	4468
48	226	4397
49	227	4331
50	229	4267
51	230	4206
52	232	4145
53	233	4086
54	235	4041
55	236	3990
56	237	3930
57	238	3878
58	240	3835
59	241	3786
60	242	3739
61	244	3693
62	245	3649
63	246	3606
64	247	3564
65	249	3524
66	250	3491
67	251	3452
68	253	3415
69	254	3378
70	255	3347
71	257	3313
72	258	3280
73	259	3247
74	260	3214
75	261	3184
76	263	3154
77	264	3125
78	265	3099
79	267	3073
80	268	3046
81	269	3019
82	271	2996
83	272	2973
84	274	2949
85	276	2937
86	277	2916
87	279	2894
88	280	2868
89	281	2850
90	283	2830
91	284	2810
92	285	2788
93	287	2773
94	289	2756
95	290	2737
96	293	2730
97	295	2715
98	296	2696
99	298	2683
100	299	2661
101	299	2640
102	301	2623
103	302	2609
104	304	2592
105	305	2575
106	306	2560
107	309	2557
108	311	2544
109	312	2529
110	314	2518
111	315	2504
112	317	2489
113	318	2474
114	319	2462
115	321	2448
116	322	2436
117	325	2434
118	327	2421
119	328	2412
120	330	2402
121	331	2388
122	332	2372
123	334	2362
124	335	2350
125	337	2337
126	338	2324
127	339	2313
128	340	2301
129	342	2290
130	343	2278
131	345	2269
132	346	2258
133	347	2245
134	350	2244
135	352	2236
136	353	2225
137	354	2216
138	356	2208
139	357	2199
140	359	2188
141	360	2180
142	362	2170
143	363	2158
144	364	2147
145	365	2139
146	366	2128
147	368	2119
148	369	2109
149	370	2099
150	372	2092
151	373	2083
152	374	2074
153	375	2062
154	377	2055
155	378	2046
156	379	2037
157	380	2028
158	382	2021
159	383	2012
160	384	2003
161	385	1995
162	387	1989
163	388	1982
164	389	1973
165	391	1964
166	392	1958
167	393	1950
168	395	1942
169	396	1934
170	397	1928
171	398	1920
172	400	1913
173	401	1905
174	402	1899
175	404	1893
176	405	1887
177	407	1881
178	408	1875
179	409	1867
180	411	1860
181	412	1854
182	413	1847
183	414	1840
184	416	1833
185	417	1827
186	418	1821
187	420	1814
188	421	1808
189	422	1800
190	423	1795
191	425	1789
192	426	1783
193	427	1777
194	429	1772
195	430	1767
196	432	1761
197	433	1755
198	434	1749
199	435	1743
200	437	1737
201	438	1731
202	439	1726
203	440	1720
204	442	1714
205	443	1708
206	444	1703
207	445	1697
208	447	1692
209	448	1686
210	449	1681
211	450	1675
212	452	1670
213	453	1664
214	454	1657
215	455	1652
216	456	1647
217	457	1641
218	458	1636
219	460	1631
220	461	1625
221	462	1621
222	464	1616
223	465	1611
224	466	1607
225	468	1603
226	469	1598
227	470	1592
228	471	1588
229	472	1583
230	474	1578
231	475	1573
232	477	1570
233	478	1564
234	479	1559
235	480	1555
236	481	1551
237	483	1546
238	484	1541
239	484	1535
240	486	1531
241	487	1527
242	488	1523
243	490	1518
244	491	1515
245	493	1512
246	494	1507
247	495	1503
248	497	1501
249	499	1497
250	500	1492
251	501	1488
252	503	1485
253	504	1481
254	505	1477
255	506	1472
256	509	1472
257	510	1469
258	512	1466
259	514	1463
260	515	1459
261	516	1455
262	518	1453
263	520	1449
264	521	1446
265	524	1446
266	525	1442
267	526	1438
268	528	1437
269	530	1434
270	531	1430
271	534	1430
272	537	1431
273	546	1448
274	547	1444
275	549	1441
276	559	1460
277	561	1458
278	563	1455
279	568	1462
280	580	1485
281	582	1482
282	584	1481
283	591	1490
284	620	1557
285	622	1554
286	626	1555
287	628	1553
288	631	1554
289	637	1559
290	640	1559
291	647	1571
292	651	1572
293	660	1585
294	664	1588
295	681	1620
296	684	1619
297	686	1616
298	689	1616
299	690	1611
300	692	1607
301	694	1604
302	695	1598
303	696	1594
304	697	1590
305	700	1587
306	701	1583
307	702	1578
308	704	1576
309	706	1571
310	706	1565
311	708	1561
312	709	1558
313	711	1553
314	712	1549
315	713	1544
316	715	1542
317	716	1536
318	717	1532
319	718	1527
320	720	1524
321	721	1519
322	723	1515
323	724	1511
324	726	1508
325	727	1503
326	728	1499
327	730	1495
328	731	1492
329	732	1486
330	733	1482
331	734	1478
332	736	1475
333	737	1471
334	739	1467
335	740	1462
336	741	1459
337	743	1455
338	744	1451
339	746	1448
340	747	1444
341	748	1439
342	749	1435
343	750	1431
344	752	1428
345	753	1424
346	754	1420
347	756	1417
348	757	1413
349	758	1409
350	760	1405
351	760	1400
352	762	1398
353	764	1394
354	765	1390
355	767	1387
356	768	1383
357	769	1380
358	770	1376
359	772	1373
360	773	1369
361	774	1365
362	775	1361
363	776	1357
364	777	1353
365	779	1349
366	780	1345
367	781	1342
368	783	1339
369	784	1335
370	785	1332
371	788	1330
372	789	1327
373	790	1323
374	792	1321
375	794	1318
376	795	1314
377	796	1310
378	798	1308
379	799	1304
380	800	1300
381	801	1297
382	804	1295
383	805	1291
384	806	1288
385	807	1284
386	809	1281
387	810	1278
388	811	1274
389	813	1271
390	813	1267
391	815	1264
392	816	1260
393	817	1257
394	819	1255
395	820	1251
396	821	1248
397	823	1245
398	824	1242
399	825	1238
400	826	1234
401	827	1231
402	829	1228
403	830	1225
404	831	1222
